id,value
id_0,4.738904087284848
id_1,16.895803250217163
id_2,24.771722212360213
id_3,8.23312115836041
id_4,28.003002038495996
id_5,21.79748393039217
id_6,23.06250122652514
id_7,31.177716462713388
id_8,17.583730028054966
id_9,58.23377857371737
id_10,14.656071939114232
id_11,10.447227716914853
id_12,60.90573161601969
id_13,52.517349723463404
id_14,22.025465127567376
id_15,11.372378289692636
id_16,31.706436061803508
id_17,68.02200941819882
id_18,-1.0898881455098683
id_19,16.59719128887123
id_20,42.36122930915003
id_21,71.34496354897583
id_22,9.27473090982702
id_23,17.915702648284086
id_24,15.081445740976937
id_25,37.89364993638569
id_26,13.74265247663387
id_27,72.43609133960506
id_28,7.568393663257032
id_29,55.28486156956416
id_30,22.96535132816862
id_31,8.20640068723274
id_32,2.4296624648525413
id_33,21.433726853941582
id_34,30.255783263339673
id_35,36.599752666234345
id_36,42.59767652920619
id_37,29.864628853504303
id_38,44.145590836358046
id_39,35.81435813764907
id_40,6.940039478331457
id_41,40.10037320244164
id_42,31.324449543529095
id_43,50.15103924728194
id_44,16.096211190447598
id_45,34.928341477223945
id_46,24.62295371756816
id_47,10.380128409142774
id_48,24.069245608912855
id_49,32.078056502699475
id_50,21.714636519891272
id_51,8.978351690965761
id_52,21.289055321064343
id_53,53.501637680130045
id_54,16.129969042959505
id_55,35.58015524235103
id_56,32.0462586501251
id_57,23.39897462704001
id_58,58.180742004180196
id_59,21.101565221510384
id_60,16.08823812402708
id_61,41.431522763691916
id_62,12.39645402762156
id_63,48.76616144713075
id_64,15.396654532971759
id_65,15.22955116780113
id_66,13.540413156780328
id_67,-0.10568840700349069
id_68,43.811870390159406
id_69,31.774536882456065
id_70,19.80881147913542
id_71,38.34709245398307
id_72,59.47309830904874
id_73,4.7371488150122545
id_74,16.989673376155103
id_75,5.689067766136688
id_76,40.17831632478693
id_77,15.069522293976776
id_78,22.807379890056623
id_79,22.91849716047513
id_80,25.33503800122931
id_81,38.9950300520073
id_82,23.21867992992362
id_83,89.74214704867508
id_84,36.315616686296885
id_85,26.083995792680714
id_86,23.944294201041966
id_87,30.162080749969917
id_88,24.612475186808368
id_89,21.180142258278583
id_90,29.716781509050683
id_91,40.5761916312201
id_92,4.410957313367238
id_93,37.76235105066515
id_94,45.660557577601324
id_95,15.826943357999186
id_96,34.16371752887606
id_97,11.70701706572496
id_98,24.957931394648604
id_99,3.9356478831421327
id_100,18.521223638968834
id_101,28.33874961157575
id_102,12.354848474328264
id_103,15.710312092899995
id_104,22.945838987799466
id_105,38.9020827853074
id_106,30.02676270499647
id_107,6.757364190291554
id_108,8.682742836639852
id_109,77.8760151981953
id_110,45.91023003657614
id_111,15.017877811972802
id_112,28.401171886466795
id_113,15.26981329804126
id_114,14.273578469049527
id_115,25.228948959106837
id_116,24.4182195822867
id_117,10.104031526709788
id_118,17.904048616591346
id_119,19.32127018600546
id_120,81.00592582300334
id_121,25.721311590103692
id_122,35.315584530274165
id_123,25.024505832462797
id_124,8.643057836125331
id_125,41.60105364557252
id_126,10.9337612918437
id_127,19.52104085631776
id_128,28.175969645499755
id_129,62.49950853050186
id_130,22.086311516400215
id_131,22.543859216744526
id_132,59.14615436937621
id_133,14.624442996097283
id_134,14.891939592223734
id_135,2.300783436158132
id_136,11.301839832455238
id_137,58.77583899447121
id_138,19.571337918477685
id_139,5.9781322181526155
id_140,27.91403436711982
id_141,25.8717954216619
